
Buffer Occupancy PerNode/Update : 
Current Interval  : 43200
p0		85.0399
p1		95.7453
p2		88.5468
p3		73.0404
p4		86.7431
p5		75.4195
p6		69.7635
p7		64.8078
p8		80.2652
p9		80.4568
p10		80.1240
p11		75.3136
p12		97.4585
p13		87.9471
p14		81.3104
p15		82.8300
p16		75.8822
p17		71.4273
p18		74.3789
p19		91.6702
p20		96.4186
p21		81.6885
p22		75.1408
p23		79.7703
p24		73.8492
p25		65.0707
p26		91.4016
p27		79.6532
p28		79.1589
p29		79.7228
p30		78.7125
p31		76.0272
p32		87.4221
p33		74.8083
p34		86.0735
p35		85.4965
p36		83.7287
p37		77.1495
p38		80.4311
p39		72.5986
c40		67.6056
c41		81.0189
c42		76.0928
c43		80.2147
c44		77.8205
c45		97.3584
c46		76.4717
c47		68.9301
c48		75.1841
c49		89.2100
c50		96.0052
c51		99.1608
c52		79.0486
c53		91.4016
c54		76.5069
c55		86.8612
c56		70.0099
c57		75.1018
c58		70.3099
c59		71.1493
c60		87.8166
c61		73.4532
c62		88.5932
c63		77.2252
c64		85.8039
c65		67.8381
c66		84.6956
c67		96.4073
c68		82.7974
c69		74.8960
c70		82.0942
c71		75.7326
c72		75.4422
c73		79.0551
c74		74.4970
c75		79.5172
c76		84.3097
c77		83.5581
c78		82.6958
c79		74.5884
w80		66.4191
w81		87.9876
w82		80.8521
w83		71.1420
w84		78.6004
w85		84.9030
w86		86.7908
w87		82.1776
w88		72.6025
w89		91.6759
w90		83.4914
w91		83.3952
w92		77.7763
w93		75.3949
w94		82.1869
w95		60.9133
w96		92.4996
w97		77.4981
w98		74.8206
w99		75.7947
w100		85.6659
w101		68.4389
w102		90.2309
w103		81.4042
w104		75.0347
w105		96.4186
w106		77.2039
w107		77.9363
w108		66.1124
w109		82.6818
w110		85.5005
w111		97.4997
w112		74.8206
w113		72.3470
w114		73.8133
w115		93.3514
w116		77.7130
w117		78.4152
w118		83.5292
w119		85.5270
t120		93.2024
t121		92.3098
t122		75.3294
t123		75.6039
t124		78.9093
t125		85.8090

